dbpedia_14427,film holiday band film film album person musical film album
dbpedia_3681,book televisionshow film film person televisionshow person film film film
dbpedia_12020,country administrativeregion administrativeregion country town administrativeregion administrativeregion station officeholder country
dbpedia_10315,currency weapon televisionshow book manga settlement single musicalartist televisionstation book
dbpedia_1335,person person officeholder officeholder building officeholder person film film person
dbpedia_6016,protein university university single scientist noble university album academicjournal protein
dbpedia_3432,film magazine radiostation person radiostation organisation administrativeregion supremecourtoftheunitedstatescase person magazine
dbpedia_16006,crater officeholder writer golfplayer film soccerplayer person book book mayor
dbpedia_278,person person person award person person person person person person
dbpedia_7661,soccerplayer soccerplayer soccerplayer soccerplayer soccerplayer soccerplayer soccerplayer soccerplayer soccerplayer soccerplayer
dbpedia_11196,writer person settlement volleyballplayer village writer writer soccermanager person historicbuilding
dbpedia_9060,ethnicgroup currency ethnicgroup weapon language recordlabel televisionshow book settlement manga
dbpedia_14631,anime film fictionalcharacter televisionshow comic person film book film film
dbpedia_6019,food criminal politician officeholder river settlement town soccerplayer basketballteam town
dbpedia_21638,radioprogram company company station televisionshow company televisionshow musical comic televisionstation
dbpedia_4600,company americanfootballplayer road nationalfootballleagueseason nationalfootballleagueseason road americanfootballplayer ncaateamseason shoppingmall americanfootballplayer
dbpedia_20525,writer televisionshow book book person book book book writer hospital
dbpedia_22649,school school school school school americanfootballplayer school school school school
dbpedia_14877,chemicalcompound chemicalcompound weapon chemicalcompound chemicalcompound chemicalcompound chemicalcompound chemicalcompound chemicalcompound chemicalcompound
dbpedia_22706,senator writer non profitorganisation election person person election film officeholder person
dbpedia_20349,film person film person building televisionshow playboyplaymate person artist writer
dbpedia_5165,railwayline town handballteam hockeyteam town country town settlement airport town
dbpedia_16157,film person book book book book televisionshow book televisionshow person
dbpedia_10722,museum museum museum non profitorganisation museum museum museum person museum museum
dbpedia_3860,event soccertournament soccerplayer event rugbyplayer soccertournament soccerclub soccertournament soccertournament soccertournament
dbpedia_6003,writer writer film band royalty island fungus person scientist park
dbpedia_8347,single musicalartist musicalartist musicalartist single band musicalartist musicalartist band musicalartist
